"year","date","month","parentSampleID","fieldSampleVolume","domainFilterVolume","total.AFDM","season","siteID","habitatType","algalSampleType","benthicArea","substratumSizeClass"
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.1",150,5,0.0015,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.2",125,5,7e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.3",125,5,0.0019,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.4",125,5,0.0014,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.5",125,5,9e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2016,2016-10-05,10,"HOPB.20161005.EPIPSAMMON.1",60,2,0.0028,"Fall","HOPB","pool","epipsammon",0.005938,"sand"
2016,2016-10-05,10,"HOPB.20161005.EPIPSAMMON.2",60,2,0.0021,"Fall","HOPB","pool","epipsammon",0.005938,"sand"
2016,2016-10-05,10,"HOPB.20161005.EPIPSAMMON.3",60,2,0.0033,"Fall","HOPB","pool","epipsammon",0.005938,"sand"
2016,2016-10-05,10,"HOPB.20161005.SESTON.1",5000,250,1e-04,"Fall","HOPB","pool","seston",NA,"cobble"
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.1",125,2,3e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.2",125,2,0.001,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.3",125,2,3e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.4",125,2,0.001,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.5",125,2,9e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-04-19,4,"HOPB.20170419.EPIPSAMMON.1",125,2,2e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand"
2017,2017-04-19,4,"HOPB.20170419.EPIPSAMMON.2",125,2,7e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand"
2017,2017-04-19,4,"HOPB.20170419.EPIPSAMMON.3",125,2,0.0012,"Spring","HOPB","pool","epipsammon",0.005938,"cobble"
2017,2017-04-19,4,"HOPB.20170419.SESTON.1",5000,250,1e-04,"Spring","HOPB","pool","seston",NA,"cobble"
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.1",125,2,6e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.2",125,2,4e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.3",125,2,7e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.4",125,2,6e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.5",125,2,5e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-07-19,7,"HOPB.20170719.EPIPSAMMON.1",145,2,0.0012,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2017,2017-07-19,7,"HOPB.20170719.EPIPSAMMON.2",125,2,7e-04,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2017,2017-07-19,7,"HOPB.20170719.EPIPSAMMON.3",125,2,0.0052,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2017,2017-07-19,7,"HOPB.20170719.SESTON.1",5000,400,0.001,"Summer","HOPB","pool","seston",NA,"sand"
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.1",125,3,9e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.2",125,3,7e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.3",125,3,0.0014,"Fall","HOPB","pool","epilithon",0.002406,"pebble"
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.4",125,3,8e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.5",125,3,0.0019,"Fall","HOPB","riffle","epilithon",0.002406,"sand"
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.6",125,3,4e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.7",125,3,0.0043,"Fall","HOPB","pool","epilithon",0.002406,"silt"
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.8",125,3,0.001,"Fall","HOPB","pool","epilithon",0.002406,"silt"
2017,2017-10-12,10,"HOPB.20171012.SESTON.1",5000,250,2e-04,"Fall","HOPB","pool","seston",NA,"cobble"
2018,2018-04-17,4,"HOPB.20180417.EPILITHON.1",125,2,7e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-04-17,4,"HOPB.20180417.EPILITHON.2",125,2,4e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-04-17,4,"HOPB.20180417.EPILITHON.3",125,2,0.001,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-04-17,4,"HOPB.20180417.EPILITHON.4",125,2,7e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-04-17,4,"HOPB.20180417.EPILITHON.5",125,2,4e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-04-17,4,"HOPB.20180417.EPIPSAMMON.1",175,2,1e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand"
2018,2018-04-17,4,"HOPB.20180417.EPIPSAMMON.2",130,2,3e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand"
2018,2018-04-17,4,"HOPB.20180417.EPIPSAMMON.3",138,2,4e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand"
2018,2018-04-17,4,"HOPB.20180417.SESTON.1",1000,350,3e-04,"Spring","HOPB","pool","seston",NA,"sand"
2018,2018-07-23,7,"HOPB.20180723.EPILITHON.1",125,4,9e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-07-23,7,"HOPB.20180723.EPILITHON.2",125,4,0.0011,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-07-23,7,"HOPB.20180723.EPILITHON.3",125,4,8e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-07-23,7,"HOPB.20180723.EPILITHON.4",125,4,7e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-07-23,7,"HOPB.20180723.EPILITHON.5",125,4,0.001,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-07-23,7,"HOPB.20180723.EPIPSAMMON.1",136,4,0.0019,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2018,2018-07-23,7,"HOPB.20180723.EPIPSAMMON.2",148,4,0.0022,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2018,2018-07-23,7,"HOPB.20180723.EPIPSAMMON.3",144,4,0.0022,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2018,2018-07-23,7,"HOPB.20180723.SESTON.1",1000,350,1e-04,"Summer","HOPB","pool","seston",NA,"sand"
2018,2018-10-10,10,"HOPB.20181010.EPILITHON.1",125,2,0,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-10-10,10,"HOPB.20181010.EPILITHON.2",125,2,4e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-10-10,10,"HOPB.20181010.EPILITHON.3",125,2,3e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-10-10,10,"HOPB.20181010.EPILITHON.4",125,2,1e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-10-10,10,"HOPB.20181010.EPILITHON.5",125,2,6e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2018,2018-10-10,10,"HOPB.20181010.EPIPSAMMON.1",103,2,3e-04,"Fall","HOPB","pool","epipsammon",0.005938,"sand"
2018,2018-10-10,10,"HOPB.20181010.EPIPSAMMON.2",132,2,4e-04,"Fall","HOPB","pool","epipsammon",0.005938,"sand"
2018,2018-10-10,10,"HOPB.20181010.EPIPSAMMON.3",126,2,0,"Fall","HOPB","pool","epipsammon",0.005938,"sand"
2018,2018-10-10,10,"HOPB.20181010.SESTON.1",1000,250,5e-04,"Fall","HOPB","pool","seston",NA,"sand"
2019,2019-04-17,4,"HOPB.20190417.EPILITHON.1",125,2,3e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-04-17,4,"HOPB.20190417.EPILITHON.2",125,2,1e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-04-17,4,"HOPB.20190417.EPILITHON.3",125,2,0,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-04-17,4,"HOPB.20190417.EPILITHON.4",125,2,0,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-04-17,4,"HOPB.20190417.EPILITHON.5",125,2,1e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-04-17,4,"HOPB.20190417.EPIPSAMMON.1",139,2,0.0015,"Spring","HOPB","pool","epipsammon",0.005938,"sand"
2019,2019-04-17,4,"HOPB.20190417.EPIPSAMMON.2",140,2,0.0013,"Spring","HOPB","pool","epipsammon",0.005938,"sand"
2019,2019-04-17,4,"HOPB.20190417.EPIPSAMMON.3",137,2,0.0026,"Spring","HOPB","pool","epipsammon",0.005938,"sand"
2019,2019-04-17,4,"HOPB.20190417.SESTON.1",1000,252,1e-04,"Spring","HOPB","pool","seston",NA,"sand"
2019,2019-07-15,7,"HOPB.20190715.EPILITHON.1",125,2,2e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-07-15,7,"HOPB.20190715.EPILITHON.2",125,2,0,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-07-15,7,"HOPB.20190715.EPILITHON.3",125,2,4e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-07-15,7,"HOPB.20190715.EPILITHON.4",125,2,0,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-07-15,7,"HOPB.20190715.EPILITHON.5",125,2,1e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-07-15,7,"HOPB.20190715.EPIPSAMMON.1",130,2,0.0021,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2019,2019-07-15,7,"HOPB.20190715.EPIPSAMMON.2",150,2,0.0011,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2019,2019-07-15,7,"HOPB.20190715.EPIPSAMMON.3",125,2,0.003,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2019,2019-07-15,7,"HOPB.20190715.SESTON.1",1000,300,2e-04,"Summer","HOPB","pool","seston",NA,"sand"
2019,2019-10-07,10,"HOPB.20191007.EPILITHON.1",125,2,1e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-10-07,10,"HOPB.20191007.EPILITHON.2",125,2,4e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-10-07,10,"HOPB.20191007.EPILITHON.3",125,2,2e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-10-07,10,"HOPB.20191007.EPILITHON.4",125,2,4e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-10-07,10,"HOPB.20191007.EPILITHON.5",125,2,0,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2019,2019-10-07,10,"HOPB.20191007.EPIPSAMMON.1",175,2,0.002,"Fall","HOPB","pool","epipsammon",0.005938,"sand"
2019,2019-10-07,10,"HOPB.20191007.EPIPSAMMON.2",125,2,0.0016,"Fall","HOPB","pool","epipsammon",0.005938,"sand"
2019,2019-10-07,10,"HOPB.20191007.EPIPSAMMON.3",158,2,0.0039,"Fall","HOPB","pool","epipsammon",0.005938,"sand"
2019,2019-10-07,10,"HOPB.20191007.SESTON.1",1000,400,3e-04,"Fall","HOPB","pool","seston",NA,"pebble"
2020,2020-07-19,7,"HOPB.20200719.EPILITHON.1",125,2,2e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2020,2020-07-19,7,"HOPB.20200719.EPILITHON.2",125,2,1e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2020,2020-07-19,7,"HOPB.20200719.EPILITHON.3",125,2,3e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2020,2020-07-19,7,"HOPB.20200719.EPILITHON.4",125,2,4e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2020,2020-07-19,7,"HOPB.20200719.EPILITHON.5",125,2,3e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2020,2020-07-19,7,"HOPB.20200719.EPIPSAMMON.1",136,2,6e-04,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2020,2020-07-19,7,"HOPB.20200719.EPIPSAMMON.2",130,2,0.0024,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2020,2020-07-19,7,"HOPB.20200719.EPIPSAMMON.3",130,2,0.0066,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2020,2020-07-19,7,"HOPB.20200719.SESTON.1",1000,250,3e-04,"Summer","HOPB","pool","seston",NA,"sand"
