"year","date","month","parentSampleID","fieldSampleVolume","domainFilterVolume","total.AFDM","season","siteID","habitatType","algalSampleType","benthicArea","substratumSizeClass","AFDM.g.m2"
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.1",150,5,0.0015,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",18.7032418952618
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.2",125,5,7e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",7.27348295926849
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.3",125,5,0.0019,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",19.7423108894431
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.4",125,5,0.0014,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",14.546965918537
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.5",125,5,9e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",9.35162094763092
2016,2016-10-05,10,"HOPB.20161005.EPIPSAMMON.1",60,2,0.0028,"Fall","HOPB","pool","epipsammon",0.005938,"sand",14.1461771640283
2016,2016-10-05,10,"HOPB.20161005.EPIPSAMMON.2",60,2,0.0021,"Fall","HOPB","pool","epipsammon",0.005938,"sand",10.6096328730212
2016,2016-10-05,10,"HOPB.20161005.EPIPSAMMON.3",60,2,0.0033,"Fall","HOPB","pool","epipsammon",0.005938,"sand",16.6722802290333
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.1",125,2,3e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",7.7930174563591
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.2",125,2,0.001,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",25.9767248545303
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.3",125,2,3e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",7.7930174563591
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.4",125,2,0.001,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",25.9767248545303
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.5",125,2,9e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",23.3790523690773
2017,2017-04-19,4,"HOPB.20170419.EPIPSAMMON.1",125,2,2e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand",2.10508588750421
2017,2017-04-19,4,"HOPB.20170419.EPIPSAMMON.2",125,2,7e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand",7.36780060626474
2017,2017-04-19,4,"HOPB.20170419.EPIPSAMMON.3",125,2,0.0012,"Spring","HOPB","pool","epipsammon",0.005938,"cobble",12.6305153250253
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.1",125,2,6e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",15.5860349127182
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.2",125,2,4e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",10.3906899418121
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.3",125,2,7e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",18.1837073981712
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.4",125,2,6e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",15.5860349127182
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.5",125,2,5e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",12.9883624272652
2017,2017-07-19,7,"HOPB.20170719.EPIPSAMMON.1",145,2,0.0012,"Summer","HOPB","pool","epipsammon",0.005938,"sand",14.6513977770293
2017,2017-07-19,7,"HOPB.20170719.EPIPSAMMON.2",125,2,7e-04,"Summer","HOPB","pool","epipsammon",0.005938,"sand",7.36780060626474
2017,2017-07-19,7,"HOPB.20170719.EPIPSAMMON.3",125,2,0.0052,"Summer","HOPB","pool","epipsammon",0.005938,"sand",54.7322330751095
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.1",125,3,9e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",15.5860349127182
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.2",125,3,7e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",12.1224715987808
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.3",125,3,0.0014,"Fall","HOPB","pool","epilithon",0.002406,"pebble",24.2449431975616
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.4",125,3,8e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",13.8542532557495
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.5",125,3,0.0019,"Fall","HOPB","riffle","epilithon",0.002406,"sand",32.9038514824051
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.6",125,3,4e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",6.92712662787476
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.7",125,3,0.0043,"Fall","HOPB","pool","epilithon",0.002406,"silt",74.4666112496536
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.8",125,3,0.001,"Fall","HOPB","pool","epilithon",0.002406,"silt",17.3178165696869
2018,2018-04-17,4,"HOPB.20180417.EPILITHON.1",125,2,7e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",18.1837073981712
2018,2018-04-17,4,"HOPB.20180417.EPILITHON.2",125,2,4e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",10.3906899418121
2018,2018-04-17,4,"HOPB.20180417.EPILITHON.3",125,2,0.001,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",25.9767248545303
2018,2018-04-17,4,"HOPB.20180417.EPILITHON.4",125,2,7e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",18.1837073981712
2018,2018-04-17,4,"HOPB.20180417.EPILITHON.5",125,2,4e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",10.3906899418121
2018,2018-04-17,4,"HOPB.20180417.EPIPSAMMON.1",175,2,1e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand",1.47356012125295
2018,2018-04-17,4,"HOPB.20180417.EPIPSAMMON.2",130,2,3e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand",3.28393398450657
2018,2018-04-17,4,"HOPB.20180417.EPIPSAMMON.3",138,2,4e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand",4.6480296396093
2018,2018-07-23,7,"HOPB.20180723.EPILITHON.1",125,4,9e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",11.6895261845387
2018,2018-07-23,7,"HOPB.20180723.EPILITHON.2",125,4,0.0011,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",14.2871986699917
2018,2018-07-23,7,"HOPB.20180723.EPILITHON.3",125,4,8e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",10.3906899418121
2018,2018-07-23,7,"HOPB.20180723.EPILITHON.4",125,4,7e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",9.09185369908562
2018,2018-07-23,7,"HOPB.20180723.EPILITHON.5",125,4,0.001,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",12.9883624272652
2018,2018-07-23,7,"HOPB.20180723.EPIPSAMMON.1",136,4,0.0019,"Summer","HOPB","pool","epipsammon",0.005938,"sand",10.8790838666218
2018,2018-07-23,7,"HOPB.20180723.EPIPSAMMON.2",148,4,0.0022,"Summer","HOPB","pool","epipsammon",0.005938,"sand",13.7083192994274
2018,2018-07-23,7,"HOPB.20180723.EPIPSAMMON.3",144,4,0.0022,"Summer","HOPB","pool","epipsammon",0.005938,"sand",13.3378241832267
2018,2018-10-10,10,"HOPB.20181010.EPILITHON.1",125,2,0,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",0
2018,2018-10-10,10,"HOPB.20181010.EPILITHON.2",125,2,4e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",10.3906899418121
2018,2018-10-10,10,"HOPB.20181010.EPILITHON.3",125,2,3e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",7.7930174563591
2018,2018-10-10,10,"HOPB.20181010.EPILITHON.4",125,2,1e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",2.59767248545303
2018,2018-10-10,10,"HOPB.20181010.EPILITHON.5",125,2,6e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",15.5860349127182
2018,2018-10-10,10,"HOPB.20181010.EPIPSAMMON.1",103,2,3e-04,"Fall","HOPB","pool","epipsammon",0.005938,"sand",2.6018861569552
2018,2018-10-10,10,"HOPB.20181010.EPIPSAMMON.2",132,2,4e-04,"Fall","HOPB","pool","epipsammon",0.005938,"sand",4.44594139440889
2018,2018-10-10,10,"HOPB.20181010.EPIPSAMMON.3",126,2,0,"Fall","HOPB","pool","epipsammon",0.005938,"sand",0
2019,2019-04-17,4,"HOPB.20190417.EPILITHON.1",125,2,3e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",7.7930174563591
2019,2019-04-17,4,"HOPB.20190417.EPILITHON.2",125,2,1e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",2.59767248545303
2019,2019-04-17,4,"HOPB.20190417.EPILITHON.3",125,2,0,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",0
2019,2019-04-17,4,"HOPB.20190417.EPILITHON.4",125,2,0,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",0
2019,2019-04-17,4,"HOPB.20190417.EPILITHON.5",125,2,1e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",2.59767248545303
2019,2019-04-17,4,"HOPB.20190417.EPIPSAMMON.1",139,2,0.0015,"Spring","HOPB","pool","epipsammon",0.005938,"sand",17.5564163017851
2019,2019-04-17,4,"HOPB.20190417.EPIPSAMMON.2",140,2,0.0013,"Spring","HOPB","pool","epipsammon",0.005938,"sand",15.3250252610307
2019,2019-04-17,4,"HOPB.20190417.EPIPSAMMON.3",137,2,0.0026,"Spring","HOPB","pool","epipsammon",0.005938,"sand",29.99326372516
2019,2019-07-15,7,"HOPB.20190715.EPILITHON.1",125,2,2e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",5.19534497090607
2019,2019-07-15,7,"HOPB.20190715.EPILITHON.2",125,2,0,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",0
2019,2019-07-15,7,"HOPB.20190715.EPILITHON.3",125,2,4e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",10.3906899418121
2019,2019-07-15,7,"HOPB.20190715.EPILITHON.4",125,2,0,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",0
2019,2019-07-15,7,"HOPB.20190715.EPILITHON.5",125,2,1e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",2.59767248545303
2019,2019-07-15,7,"HOPB.20190715.EPIPSAMMON.1",130,2,0.0021,"Summer","HOPB","pool","epipsammon",0.005938,"sand",22.987537891546
2019,2019-07-15,7,"HOPB.20190715.EPIPSAMMON.2",150,2,0.0011,"Summer","HOPB","pool","epipsammon",0.005938,"sand",13.8935668575278
2019,2019-07-15,7,"HOPB.20190715.EPIPSAMMON.3",125,2,0.003,"Summer","HOPB","pool","epipsammon",0.005938,"sand",31.5762883125632
2019,2019-10-07,10,"HOPB.20191007.EPILITHON.1",125,2,1e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",2.59767248545303
2019,2019-10-07,10,"HOPB.20191007.EPILITHON.2",125,2,4e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",10.3906899418121
2019,2019-10-07,10,"HOPB.20191007.EPILITHON.3",125,2,2e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",5.19534497090607
2019,2019-10-07,10,"HOPB.20191007.EPILITHON.4",125,2,4e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",10.3906899418121
2019,2019-10-07,10,"HOPB.20191007.EPILITHON.5",125,2,0,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",0
2019,2019-10-07,10,"HOPB.20191007.EPIPSAMMON.1",175,2,0.002,"Fall","HOPB","pool","epipsammon",0.005938,"sand",29.4712024250589
2019,2019-10-07,10,"HOPB.20191007.EPIPSAMMON.2",125,2,0.0016,"Fall","HOPB","pool","epipsammon",0.005938,"sand",16.8406871000337
2019,2019-10-07,10,"HOPB.20191007.EPIPSAMMON.3",158,2,0.0039,"Fall","HOPB","pool","epipsammon",0.005938,"sand",51.8861569552038
2020,2020-07-19,7,"HOPB.20200719.EPILITHON.1",125,2,2e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",5.19534497090607
2020,2020-07-19,7,"HOPB.20200719.EPILITHON.2",125,2,1e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",2.59767248545303
2020,2020-07-19,7,"HOPB.20200719.EPILITHON.3",125,2,3e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",7.7930174563591
2020,2020-07-19,7,"HOPB.20200719.EPILITHON.4",125,2,4e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",10.3906899418121
2020,2020-07-19,7,"HOPB.20200719.EPILITHON.5",125,2,3e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",7.7930174563591
2020,2020-07-19,7,"HOPB.20200719.EPIPSAMMON.1",136,2,6e-04,"Summer","HOPB","pool","epipsammon",0.005938,"sand",6.87100033681374
2020,2020-07-19,7,"HOPB.20200719.EPIPSAMMON.2",130,2,0.0024,"Summer","HOPB","pool","epipsammon",0.005938,"sand",26.2714718760525
2020,2020-07-19,7,"HOPB.20200719.EPIPSAMMON.3",130,2,0.0066,"Summer","HOPB","pool","epipsammon",0.005938,"sand",72.2465476591445
